distance_pair	len_sentence	pos_et1	pos_et2	num_ets_left	num_ets_inside	num_ets_right	presence_triggers_left	presence_triggers_inside	presence_triggers_right	num_triggers_left	num_triggers_inside	num_triggers_right	num_triggers_verbs_left	num_triggers_verbs_inside	num_triggers_verbs_right	num_triggers_nouns_left	num_triggers_nouns_insight	num_triggers_nouns_right	num_pos_triggers_left	num_pos_triggers_inside	num_pos_triggers_right	num_neg_triggers_left	num_neg_triggers_inside	num_neg_triggers_right	num_neg_left	num_neg_inside	num_neg_right	num_preps_left	num_preps_inside	num_preps_right	is_head_e1	is_head_e2	size_chunk_e1	size_chunk_e2	num_verbs_left	num_verbs_inside	num_verbs_right	num_nouns_left	num_nouns_inside	num_nouns_right	num_pos_triggers	num_neg_triggers	target	entity_pair	sentence
1	9	1	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	2	0	1	0	0	0	3	0	1	NEU	(Myanmar, NZ)	Myanmar tries NZ man on charge of insulting Buddha	
2	9	1	4	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	1	0	0	1	2	0	1	M-NEG	(Myanmar, man)	Myanmar tries NZ man on charge of insulting Buddha	
3	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	M-NEG	(ISIS, interests)	ISIS threats to American interests 'extremely high'	
4	7	1	6	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	2	0	1	0	0	2	1	0	1	NEU	(Guinean, U.N.)	Guinean opposition suspends protest for U.N.-led talks	
3	7	2	6	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	1	1	0	1	NEU	(opposition, U.N.)	Guinean opposition suspends protest for U.N.-led talks	
2	13	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	3	0	0	NEU	(UN, Syrian)	UN stops counting Syrian dead as first chemical weapons removed from the country	
3	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	3	0	0	NEU	(UN, dead)	UN stops counting Syrian dead as first chemical weapons removed from the country	
1	15	1	3	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	1	1	0	1	3	0	0	3	1	0	M-NEG	(Russia, US)	Russia claims US trying to 'blackmail' it to accept UN resolution on Syria	
10	15	1	12	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	4	0	0	1	2	1	0	NEU	(Russia, UN)	Russia claims US trying to 'blackmail' it to accept UN resolution on Syria	
13	15	1	15	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	4	0	0	3	0	1	0	NEU	(Russia, Syria)	Russia claims US trying to 'blackmail' it to accept UN resolution on Syria	
8	15	3	12	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	3	0	1	0	2	1	0	NEU	(US, UN)	Russia claims US trying to 'blackmail' it to accept UN resolution on Syria	
11	15	3	15	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	1	1	3	0	1	2	0	1	0	NEU	(US, Syria)	Russia claims US trying to 'blackmail' it to accept UN resolution on Syria	
2	15	12	15	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	2	1	4	0	0	2	1	0	1	0	NEU	(UN, Syria)	Russia claims US trying to 'blackmail' it to accept UN resolution on Syria	
1	13	1	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	1	1	1	0	1	1	0	0	4	1	0	M-NEG	(U.S., Japan)	U.S. urges Japan to be 'bold' in Pacific trade pact talks	
7	9	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	1	0	0	2	0	0	0	NEU	(NorthKorea, Russia)	North Korea's Kim to send special envoy to Russia	
5	10	4	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	2	1	0	0	0	NEU	(Kim, Russia)	North Korea's Kim to send special envoy to Russia	
1	9	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2	0	1	0	0	0	3	0	0	NEU	(Obama, Venezuela)	Obama meets Venezuela's president on sidelines of summit	
3	9	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	1	2	0	0	NEU	(Obama, president)	Obama meets Venezuela's president on sidelines of summit	
7	11	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	2	0	1	2	0	0	0	NEU	(UnitedStates, Iraq)	Report: United States kept secret its chemical weapons finds in Iraq	
6	11	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	0	1	0	0	2	2	0	0	NEU	(Britain, EU)	Britain confident of reducing 2.1 bln euro EU bill - Osborne	
7	9	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	3	0	0	0	NEU	(Britain, bill)	Britain confident of reducing 2.1 bln euro EU bill	
4	8	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	0	1	0	0	1	2	0	0	NEU	(Malaysia, NZ)	Malaysia vows stern action on NZ assault suspect	
6	8	1	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	3	0	0	0	V-NEG	(Malaysia, suspect)	Malaysia vows stern action on NZ assault suspect	
4	8	1	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	3	0	1	0	0	1	1	1	0	M-POS	(China, Iran)	China holds out hope for Iran nuclear deal	
0	9	1	1	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	3	2	0	M-POS	(US, China)	US-China ties will help shape 21st century: Kerry	
6	9	1	8	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	1	0	2	NEU	(UN, Yemen)	UN poised to slap sanctions on former Yemen strongman	
7	9	1	9	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	3	0	0	2	V-NEG	(UN, strongman)	UN poised to slap sanctions on former Yemen strongman	
1	18	1	3	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	3	0	0	2	2	0	M-NEG	(BarackObama, NorthKorea)	Barack Obama warns North Korea that US 'will not hesitate to use our military might' to defend allies	
1	19	4	6	2	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	3	2	0	1	2	0	NEU	(NorthKorea, US)	Barack Obama warns North Korea that US 'will not hesitate to use our military might' to defend allies	
1	5	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	1	1	0	0	M-POS	(Iraq, Kurds)	Iraq arms Kurds against ISIS	
3	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	2	0	0	0	M-NEG	(Iraq, ISIS)	Iraq arms Kurds against ISIS	
1	5	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	2	0	0	0	0	M-NEG	(Kurds, ISIS)	Iraq arms Kurds against ISIS	
12	14	1	14	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1	1	1	1	0	1	0	0	3	0	0	1	NEU	(Russia, Ukraine)	Russia a land of plenty, but hard to reach from rebel east Ukraine	
1	14	1	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	2	0	0	5	1	0	V-POS	(U.S., Russia)	U.S., Russia agree to share intelligence on common enemy: Islamic State militants	
5	7	1	7	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	2	0	1	0	M-POS	(Britain, Ireland)	Britain seeks new prisoner deal with Ireland	
4	12	1	6	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	4	0	1	NEU	(NorthKorea, U.S.)	North Korea proposes joint probe with U.S. into Sony cyber attack: KCNA	
5	8	1	7	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	3	2	0	0	0	0	3	1	1	0	M-POS	(Cuban, Japanese)	Cuban Cepeda signs pro deal with Japanese team	
5	8	2	8	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	M-POS	(Cepeda, team)	Cuban Cepeda signs pro deal with Japanese team	
1	10	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	2	0	1	1	0	0	0	0	NEU	(Iraq, UN)	'Staggering' numbers dying in Iraq, UN says	
7	9	1	9	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	1	1	0	1	0	0	2	0	0	1	NEU	(DavidCameron, Kazakhstan)	David Cameron under pressure to raise human rights in Kazakhstan	
1	10	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	1	0	0	4	0	1	NEU	(Canada, Australia)	Canada, Australia must explain visa block on Ebola nations	
4	7	1	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	2	2	0	0	0	0	3	1	1	0	NEU	(Iranian, UN)	Iranian exile leader appeals for UN help	
2	7	3	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	2	2	0	0	0	1	1	1	1	0	NEU	(leader, UN)	Iranian exile leader appeals for UN help	
6	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	1	0	1	0	0	2	0	0	0	NEU	(France, BurkinaFaso)	France calls for end to violence in Burkina Faso	
1	7	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	2	0	1	0	0	0	3	0	1	NEU	(US, Saudi)	US shuts Saudi embassy over security fears	
2	7	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	2	0	1	NEU	(US, embassy)	US shuts Saudi embassy over security fears	
8	11	1	10	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	1	1	2	2	0	2	0	0	3	1	0	2	NEU	(UK, Syrian)	UK parliament wins veto over any decision to arm Syrian rebels	
